Episode,Word,Score
Ep1,shido,0.00533221765200035
Ep1,extra,0.00533221765200035
Ep1,said,0.00533221765200035
Ep1,saw,0.00533221765200035
Ep1,life,0.00533221765200035
Ep1,took,0.00533221765200035
Ep1,ball,0.00533221765200035
Ep1,upcoming,0.00533221765200035
Ep1,aura,0.00533221765200035
Ep1,previous,0.00533221765200035
Ep1,away,0.00533221765200035
Ep1,adaptation,0.00533221765200035
Ep1,wtf,0.005711538296589003
Ep1,holy,0.005711538296589003
Ep1,plan,0.005711538296589003
Ep1,httpswwinstagramcomotakuweekigshemkyqntvtnxlh,0.005711538296589003
Ep1,aside,0.005711538296589003
Ep1,asf,0.005711538296589003
Ep1,poor,0.005711538296589003
Ep1,flow,0.005711538296589003
Ep1,follower,0.005711538296589003
Ep1,imagine,0.005711538296589003
Ep1,future,0.005711538296589003
Ep1,shame,0.005711538296589003
Ep1,kick,0.005711538296589003
Ep1,saving,0.005711538296589003
Ep1,insta,0.005711538296589003
Ep1,feeling,0.005711538296589003
Ep1,saved,0.005711538296589003
Ep1,link,0.005711538296589003
Ep1,etc,0.005711538296589003
Ep1,supposed,0.005711538296589003
Ep1,either,0.005711538296589003
Ep1,enjoyed,0.005711538296589003
Ep1,line,0.005711538296589003
Ep1,saes,0.005711538296589003
Ep1,expecting,0.005711538296589003
Ep1,call,0.005711538296589003
Ep1,news,0.005711538296589003
Ep1,regret,0.005711538296589003
Ep1,beginning,0.005711538296589003
Ep1,recom,0.005711538296589003
Ep1,reason,0.005711538296589003
Ep1,run,0.005711538296589003
Ep1,turn,0.005711538296589003
Ep1,hand,0.005711538296589003
Ep1,yoichi,0.005711538296589003
Ep1,page,0.0061270370519247086
Ep1,lack,0.0061270370519247086
Ep1,content,0.0061270370519247086
Ep1,effort,0.0061270370519247086
Ep1,listmanga,0.0061270370519247086
Ep1,barou,0.0061270370519247086
Ep1,favourite,0.0061270370519247086
Ep1,eps,0.0061270370519247086
Ep1,joke,0.0061270370519247086
Ep1,understand,0.0061270370519247086
Ep1,happy,0.0061270370519247086
Ep1,head,0.0061270370519247086
Ep1,wow,0.0061270370519247086
Ep1,main,0.0061270370519247086
Ep1,dialogue,0.0061270370519247086
Ep1,reaction,0.0061270370519247086
Ep1,came,0.0061270370519247086
Ep1,towards,0.0061270370519247086
Ep1,given,0.0061270370519247086
Ep1,wouldve,0.0061270370519247086
Ep1,af,0.0061270370519247086
Ep1,admit,0.0061270370519247086
Ep1,justice,0.006586349616513622
Ep1,karasu,0.006586349616513622
Ep1,focused,0.006586349616513622
Ep1,due,0.006586349616513622
Ep1,soon,0.006586349616513622
Ep1,found,0.006586349616513622
Ep1,fully,0.006586349616513622
Ep1,tier,0.006586349616513622
Ep1,couple,0.006586349616513622
Ep1,managed,0.006586349616513622
Ep1,becoming,0.006586349616513622
Ep1,cooking,0.006586349616513622
Ep1,continue,0.006586349616513622
Ep1,totally,0.006586349616513622
Ep1,ofc,0.006586349616513622
Ep1,arent,0.006586349616513622
Ep1,animate,0.006586349616513622
Ep1,weird,0.006586349616513622
Ep1,body,0.006586349616513622
Ep1,foot,0.006586349616513622
